Column A,Column B,Answer
Positive integer,Numbers greater than zero,Matching
Negative integer,Numbers less than zero,Matching
Zero,Neither positive nor negative,Matching
Number line,Line used to represent numbers,Matching
Add integers,Combine two integers,Matching
Subtract integers,Find difference of integers,Matching
Opposite of a number,Additive inverse,Matching
Absolute value,Distance from zero on number line,Matching
Greater integer,Integer on right side of number line,Matching
Smaller integer,Integer on left side of number line,Matching
-5,Example of negative integer,Matching
+7,Example of positive integer,Matching
0,Neutral integer,Matching
Sum of two positives,Always positive,Matching
Sum of two negatives,Always negative,Matching
