Chapter,Set A,Set B,Answer
Decimals,Decimal fraction,Denominator is 10, 100, 1000 etc.,Decimal fraction → Denominator is 10, 100, 1000 etc.
Decimals,Place value of tenths,First digit after decimal point,Place value of tenths → First digit after decimal point
Decimals,Place value of hundredths,Second digit after decimal point,Place value of hundredths → Second digit after decimal point
Decimals,0.5,Five tenths,0.5 → Five tenths
Decimals,0.25,Twenty five hundredths,0.25 → Twenty five hundredths
Decimals,1.75,One and seventy five hundredths,1.75 → One and seventy five hundredths
Decimals,Comparing decimals,Compare place values,Comparing decimals → Compare place values
Decimals,Addition of decimals,Align decimal points,Addition of decimals → Align decimal points
Decimals,Subtraction of decimals,Align decimal points,Subtraction of decimals → Align decimal points
Decimals,Multiplying decimals,Ignore decimal first then place later,Multiplying decimals → Ignore decimal first then place later
Decimals,Converting fraction to decimal,Divide numerator by denominator,Converting fraction to decimal → Divide numerator by denominator
Decimals,0.1,One tenth,0.1 → One tenth
Decimals,0.01,One hundredth,0.01 → One hundredth
Decimals,Like decimals,Same number of decimal places,Like decimals → Same number of decimal places
Decimals,Smallest decimal number,The one with smaller place value digit,Smallest decimal number → The one with smaller place value digit
