Chapter,Question,Option A,Option B,Option C,Option D,Answer
Data Handling,What is data?,Information,Number,Shape,Equation,Information
Data Handling,What is a tally mark used for?,Counting,Multiplication,Division,Addition,Counting
Data Handling,How many tally marks represent 5?,||||||||5
Data Handling,Which diagram shows data in rectangular bars?,Pie chart,Bar graph,Pictograph,Line graph,Bar graph
Data Handling,Which diagram shows parts of a whole?,Pie chart,Bar graph,Line graph,Pictograph,Pie chart
Data Handling,What type of data can be measured?,Qualitative,Quantitative,Subjective,Objective,Quantitative
Data Handling,What is the mode of 2,3,3,5,5,5,6?,3,5,2,6,5
Data Handling,What is the median of 3,1,4,2,5?,1,3,4,5,3
Data Handling,What is the range of 5,8,12,15?,7,10,12,15,10
Data Handling,Which graph uses pictures to show data?,Pictograph,Bar graph,Line graph,Pie chart,Pictograph
Data Handling,Data collected through observation is called?,Primary,Secondary,Raw,Processed,Primary
Data Handling,Data collected from books is called?,Primary,Secondary,Raw,Processed,Secondary
Data Handling,Which is used to show trends over time?,Line graph,Bar graph,Pie chart,Pictograph,Line graph
Data Handling,In a bar graph, height of bar shows?,Frequency,Value,Sum,Average,Frequency
Data Handling,Which graph has circular shape?,Pie chart,Bar graph,Line graph,Pictograph,Pie chart
Data Handling,Frequency of 5 in dataset 2,5,3,5,6?,1,2,3,4,2
Data Handling,Sum of frequencies gives?,Total number of observations,Average,Median,Mode,Total number of observations
Data Handling,Range is?,Difference between highest and lowest value,Average,Sum,Median,Difference between highest and lowest value
Data Handling,Mode is?,Most frequent value,Middle value,Sum,Average,Most frequent value
Data Handling,Median is?,Middle value,Most frequent value,Sum,Average,Middle value
Data Handling,Class interval is used in?,Grouped data,Raw data,Pictograph,Line graph,Grouped data
Data Handling,Bar graphs are used for?,Discrete data,Continuous data,Both,None,Discrete data
Data Handling,Which diagram shows parts of whole as percentages?,Pie chart,Bar graph,Line graph,Pictograph,Pie chart
Data Handling,Line graph shows?,Trend over time,Parts of whole,Frequency,Pictures,Trend over time
Data Handling,Which type of data can be described?,Qualitative,Quantitative,Both,None,Qualitative
Data Handling,Which type of data can be measured?,Quantitative,Qualitative,Both,None,Quantitative
Data Handling,Data collected from experiments is called?,Primary,Secondary,Qualitative,Quantitative,Primary
Data Handling,Data collected from surveys is called?,Primary,Secondary,Qualitative,Quantitative,Primary
Data Handling,Secondary data comes from?,Books,Experiments,Observation,Survey,Books
Data Handling,In pictograph, each picture represents?,One item,Two items,Multiple items,Frequency,Multiple items
Data Handling,Data collected from questionnaires is?,Primary,Secondary,Qualitative,Quantitative,Primary
Data Handling,Height of bar in bar graph represents?,Frequency,Value,Sum,Median,Frequency
Data Handling,Pie chart is divided into?,Sectors,Circles,Lines,Bars,Sectors
Data Handling,Frequency table shows?,Count of data,Sum,Average,Trend,Count of data
Data Handling,How many axes in bar graph?,1,2,3,4,2
Data Handling,Horizontal axis in bar graph shows?,Category,Frequency,Sum,Median,Category
Data Handling,Vertical axis in bar graph shows?,Frequency,Category,Sum,Average,Frequency
Data Handling,Trend in line graph shows?,Change over time,Sum,Average,Median,Change over time
Data Handling,Data that cannot be measured is?,Qualitative,Quantitative,Both,None,Qualitative
Data Handling,Data that can be counted or measured is?,Quantitative,Qualitative,Both,None,Quantitative
Data Handling,Range of 12,15,18,20?,8,7,6,10,8
Data Handling,Mode of 3,3,4,5,5,5?,3,5,4,6,5
Data Handling,Median of 2,4,6,8,10?,6,4,5,8,6
Data Handling,Sum of 4+5+6+5+4?,24,25,26,23,24
Data Handling,Which type of graph shows frequency using bars?,Bar graph,Pie chart,Line graph,Pictograph,Bar graph
Data Handling,Which type of graph shows trend over time?,Line graph,Pie chart,Bar graph,Pictograph,Line graph
Data Handling,Each sector of pie chart represents?,Part of whole,Value,Frequency,Median,Part of whole
Data Handling,Data collected from newspapers is?,Secondary,Primary,Qualitative,Quantitative,Secondary
Data Handling,Data collected from interviews is?,Primary,Secondary,Qualitative,Quantitative,Primary
Data Handling,Data represented by pictures is called?,Pictograph,Bar graph,Line graph,Pie chart,Pictograph
Data Handling,Data in bar graph is shown as?,Bars,Lines,Circles,Rectangles,Bars
Data Handling,Which graph is circular?,Pie chart,Bar graph,Line graph,Pictograph,Pie chart
Data Handling,Data that can be counted is called?,Quantitative,Qualitative,Both,None,Quantitative
